#长期数据集，每小时统计一次，并且：

# max_sum_non_zero：48小时内（过去48小时）涨幅前10的新币的累计涨幅之和。
# min_sum_non_zero：48小时内（过去48小时）跌幅前10的新币的累计跌幅之和。

fudu_1316	55.74%	-148.14%
fudu_1317	60.77%	-142.35%
fudu_1318	65.50%	-124.39%
fudu_1319	67.82%	-131.10%
fudu_1320	63.67%	-173.33%
fudu_1321	82.15%	-164.72%
fudu_1322	94.50%	-140.28%
fudu_1323	103.63%	-126.68%
fudu_1324	108.62%	-109.05%
fudu_1325	84.45%	-153.55%
fudu_1326	83.38%	-131.14%
fudu_1327	82.79%	-161.40%
fudu_1328	70.20%	-182.88%
fudu_1329	72.29%	-152.44%
fudu_1330	61.23%	-146.23%
fudu_1331	73.94%	-136.26%
fudu_1332	68.02%	-138.37%
fudu_1333	76.74%	-123.47%
fudu_1334	62.87%	-175.78%
fudu_1335	53.61%	-167.47%
fudu_1336	43.96%	-155.92%
fudu_1337	52.35%	-143.82%
fudu_1338	52.55%	-127.25%
fudu_1339	45.49%	-141.35%
fudu_1340	37.54%	-148.35%
fudu_1341	37.66%	-145.30%
fudu_1342	40.45%	-124.42%
fudu_1343	35.64%	-133.09%
fudu_1344	34.26%	-111.97%
fudu_1345	41.52%	-93.44%
fudu_1346	36.41%	-111.70%
fudu_1347	35.66%	-117.05%
fudu_1348	37.78%	-121.30%
fudu_1349	42.11%	-111.98%
fudu_1350	31.32%	-129.48%
fudu_1351	28.92%	-114.79%
fudu_1352	32.04%	-99.95%
fudu_1353	41.95%	-91.06%
fudu_1354	63.06%	-86.78%
fudu_1355	67.06%	-86.82%
fudu_1356	73.68%	-47.68%
fudu_1357	72.65%	-54.36%
fudu_1358	74.99%	-44.87%
fudu_1359	80.77%	-50.41%
fudu_1360	97.17%	-42.87%
fudu_1361	100.84%	-34.08%
fudu_1362	89.50%	-25.47%
fudu_1363	113.53%	-17.58%
fudu_1364	103.61%	-14.21%
fudu_1365	100.99%	-19.13%
fudu_1366	100.08%	-32.63%
fudu_1367	97.77%	-49.14%
fudu_1368	78.41%	-67.61%
fudu_1369	81.39%	-52.56%
fudu_1370	108.28%	-39.33%
fudu_1371	107.08%	-49.29%
fudu_1372	109.55%	-42.17%
fudu_1373	132.77%	-37.82%
fudu_1374	127.04%	-43.15%
fudu_1375	135.96%	-21.76%
fudu_1376	140.25%	-17.26%
fudu_1377	148.80%	-9.59%
fudu_1378	113.71%	-20.62%
fudu_1379	111.96%	-17.28%
fudu_1380	114.55%	-25.38%
fudu_1381	121.49%	-34.65%
fudu_1382	144.87%	-31.40%
fudu_1383	155.04%	-25.73%
fudu_1384	118.49%	-45.95%
fudu_1385	126.17%	-46.55%
fudu_1386	134.35%	-49.71%
fudu_1387	162.58%	-40.23%
fudu_1388	170.67%	-35.14%
fudu_1389	164.52%	-42.84%
fudu_1390	168.43%	-36.51%
fudu_1391	143.36%	-41.82%
fudu_1392	115.74%	-61.52%
fudu_1393	123.13%	-61.72%
fudu_1394	128.64%	-59.40%
fudu_1395	123.02%	-58.95%
fudu_1396	108.87%	-68.26%
fudu_1397	113.44%	-77.33%
fudu_1398	110.50%	-80.54%
fudu_1399	77.34%	-91.04%
fudu_1400	83.71%	-84.69%
fudu_1401	63.64%	-95.43%
fudu_1402	53.49%	-110.23%
fudu_1403	52.73%	-128.21%
fudu_1404	48.86%	-136.46%
fudu_1405	45.53%	-136.05%
fudu_1406	48.29%	-148.81%
fudu_1407	48.55%	-143.42%
fudu_1408	45.85%	-146.85%
fudu_1409	39.92%	-148.18%
fudu_1410	29.14%	-162.49%
fudu_1411	18.99%	-182.53%
fudu_1412	23.45%	-183.52%
fudu_1413	21.32%	-205.64%
fudu_1414	23.63%	-182.58%
fudu_1415	13.24%	-219.44%
fudu_1416	15.13%	-200.92%
fudu_1417	8.41%	-229.38%
fudu_1418	7.78%	-258.14%
fudu_1419	13.41%	-253.48%
fudu_1420	11.89%	-258.72%
fudu_1421	12.59%	-239.26%
fudu_1422	4.97%	-245.48%
fudu_1423	9.95%	-231.91%
fudu_1424	5.50%	-249.53%
fudu_1425	10.30%	-232.07%
fudu_1426	10.45%	-244.72%
fudu_1427	16.67%	-234.62%
fudu_1428	10.54%	-237.19%
fudu_1429	2.36%	-245.16%
fudu_1430	-3.09%	-243.59%
fudu_1431	7.63%	-198.87%
fudu_1432	5.01%	-211.58%
fudu_1433	10.79%	-202.13%
fudu_1434	6.55%	-237.95%
fudu_1435	9.32%	-229.93%
fudu_1436	15.32%	-220.56%
fudu_1437	12.87%	-230.11%
fudu_1438	14.04%	-217.99%
fudu_1439	22.74%	-200.66%
fudu_1440	18.41%	-201.45%
fudu_1441	17.76%	-200.67%
fudu_1442	15.61%	-199.93%
fudu_1443	25.76%	-174.71%
fudu_1444	35.13%	-164.77%
fudu_1445	38.06%	-162.31%
fudu_1446	46.19%	-126.14%
fudu_1447	35.41%	-133.41%
fudu_1448	43.16%	-113.38%
fudu_1449	51.84%	-104.20%
fudu_1450	55.71%	-101.12%
fudu_1451	57.50%	-107.66%
fudu_1452	57.00%	-96.94%
fudu_1453	65.93%	-94.75%
