,max_sum_non_zero
fudu_1137,381.8422
fudu_1136,379.8888
fudu_1134,376.3101
fudu_1135,362.2604
fudu_1146,344.762
fudu_1144,340.8826
fudu_1142,335.0382
fudu_1147,334.3787
fudu_1141,334.2945
fudu_269,333.7374
fudu_268,329.9631
fudu_270,329.3912
fudu_1139,327.3813
fudu_272,326.5428
fudu_1145,325.9912
fudu_273,325.5344
fudu_1151,324.9839
fudu_276,322.2394
fudu_271,321.9087
fudu_275,320.9309
fudu_1178,318.9461
fudu_274,318.3679
fudu_1148,314.7048
fudu_266,312.8604
fudu_1138,312.5186
fudu_1140,306.5529
fudu_1177,305.9809
fudu_267,305.783
fudu_1149,304.6447
fudu_1150,303.3378
fudu_1179,303.01
fudu_1143,301.9693
fudu_263,301.4421
fudu_1176,300.7441
fudu_1152,295.0467
fudu_265,290.9674
fudu_17,289.6503
fudu_285,288.0923
fudu_16,285.51
fudu_21,280.0217
fudu_1180,279.4002
fudu_1173,277.267
fudu_15,276.9484
fudu_13,275.6708
fudu_279,274.8338
fudu_280,272.9985
fudu_1175,272.0067
fudu_432,271.1388
fudu_284,270.4447
fudu_14,269.1463
fudu_1174,268.6891
fudu_18,268.6495
fudu_277,267.7762
fudu_1169,267.3925
fudu_281,267.2282
fudu_1171,267.1472
fudu_20,267.0753
fudu_264,267.0099
fudu_19,265.956
fudu_22,263.8266
fudu_10,263.3916
fudu_283,262.9763
fudu_1133,262.3323
fudu_1170,262.3132
fudu_11,262.2675
fudu_434,260.7482
fudu_1273,260.5909
fudu_12,257.8582
fudu_1267,255.3464
fudu_429,251.5523
fudu_433,250.8996
fudu_278,250.0097
fudu_1287,248.8968
fudu_23,246.2297
fudu_430,244.6412
fudu_1268,242.0542
fudu_1280,240.0873
fudu_1158,237.6792
fudu_1172,237.3378
fudu_1132,237.2355
fudu_422,234.4087
fudu_9,233.1177
fudu_1288,230.904
fudu_4,230.432
fudu_1181,228.9944
fudu_282,228.7452
fudu_1281,228.6027
fudu_1265,226.2074
fudu_1186,226.1938
fudu_7,226.034
fudu_1154,225.5456
fudu_3,225.4602
fudu_5,225.1896
fudu_755,224.913
fudu_24,224.7196
fudu_421,224.6536
fudu_2,224.542
fudu_1264,224.2186
fudu_1272,223.7249
fudu_1131,223.6473
fudu_257,223.5338
fudu_1163,223.4838
fudu_8,223.0623
fudu_254,221.9707
fudu_1285,219.9925
fudu_1274,219.9749
fudu_260,219.8226
fudu_309,219.4713
fudu_431,219.3298
fudu_6,218.8681
fudu_255,218.295
fudu_435,217.9415
fudu_1270,217.8122
fudu_1279,217.7351
fudu_754,217.2188
fudu_258,217.1702
fudu_1162,216.9557
fudu_1156,216.7452
fudu_533,215.4637
fudu_293,214.8575
fudu_1185,214.7868
fudu_1284,214.7679
fudu_1,214.733
fudu_1184,213.509
fudu_757,213.1877
fudu_1289,213.1162
fudu_1278,212.8996
fudu_1159,212.3033
fudu_286,211.2567
fudu_1183,211.0098
fudu_1164,210.1507
fudu_1157,210.0923
fudu_1182,209.7097
fudu_1160,209.6919
fudu_308,209.4618
fudu_262,207.982
fudu_1166,207.9287
fudu_1266,207.7991
fudu_25,207.6702
fudu_1269,207.6346
fudu_1282,206.7537
fudu_364,206.5496
fudu_1167,206.4927
fudu_1155,206.3007
fudu_289,206.1473
fudu_756,206.0188
fudu_1290,205.7668
fudu_1275,205.764
fudu_306,205.2084
fudu_299,205.1621
fudu_261,205.0163
fudu_1294,204.5848
fudu_291,204.4523
fudu_290,204.4236
fudu_1271,203.6995
fudu_307,203.1842
fudu_256,202.9919
fudu_759,202.7614
fudu_1207,202.3566
fudu_259,202.245
fudu_294,201.9952
fudu_425,201.8588
fudu_1130,201.754
fudu_385,201.1228
fudu_747,200.9082
fudu_292,200.5981
fudu_1187,199.7132
fudu_1165,199.4494
fudu_287,199.4458
fudu_1293,199.4403
fudu_1254,197.6101
fudu_428,196.8091
fudu_1291,196.7821
fudu_1153,196.6793
fudu_1205,195.2448
fudu_1276,195.1517
fudu_419,194.9674
fudu_1212,194.8475
fudu_1277,194.0159
fudu_437,192.2371
fudu_417,192.0008
fudu_1208,191.9463
fudu_1253,191.8675
fudu_1255,191.4347
fudu_438,190.1407
fudu_1261,190.0909
fudu_436,189.8598
fudu_382,188.9258
fudu_1292,188.5232
fudu_305,188.1365
fudu_1168,187.9781
fudu_532,187.8378
fudu_1263,187.8098
fudu_1283,187.7598
fudu_300,187.3511
fudu_427,187.2823
fudu_32,186.6728
fudu_1262,186.1741
fudu_1161,185.5474
fudu_1295,185.3671
fudu_420,185.1947
fudu_248,185.1763
fudu_758,184.9845
fudu_423,184.132
fudu_384,183.5772
fudu_1211,183.3238
fudu_745,182.8646
fudu_50,182.3856
fudu_1206,182.1505
fudu_424,181.7043
fudu_383,181.5671
fudu_1286,181.0014
fudu_288,180.9074
fudu_1213,180.641
fudu_363,180.2961
fudu_531,180.2762
fudu_1129,180.0009
fudu_30,179.1254
fudu_49,178.6328
fudu_534,177.9427
fudu_746,177.866
fudu_765,177.5898
fudu_29,177.3155
fudu_28,177.0799
fudu_386,176.8245
fudu_1128,175.9763
fudu_304,175.8667
fudu_426,174.9625
fudu_923,174.8126
fudu_1188,174.6847
fudu_1260,174.6722
fudu_26,174.2521
fudu_1127,174.1706
fudu_37,174.0303
fudu_31,173.9329
fudu_33,173.3178
fudu_536,173.1673
fudu_1258,172.4252
fudu_27,172.0786
fudu_761,171.29
fudu_530,170.7855
fudu_1125,170.7643
fudu_1388,170.6681
fudu_418,170.5203
fudu_302,170.2822
fudu_41,169.9812
fudu_1296,169.8768
fudu_1259,169.2358
fudu_48,168.4721
fudu_1390,168.4303
fudu_748,168.4284
fudu_1210,168.0728
fudu_1209,168.0053
fudu_1214,167.846
fudu_1204,167.2996
fudu_38,166.9844
fudu_537,166.9024
fudu_922,166.7145
fudu_1256,166.689
fudu_535,166.5877
fudu_298,165.9227
fudu_1190,165.8785
fudu_764,165.6668
fudu_910,165.5124
fudu_529,165.1754
fudu_303,165.0894
fudu_297,164.9385
fudu_53,164.7461
fudu_1126,164.608
fudu_762,164.5899
fudu_1389,164.5194
fudu_40,164.3979
fudu_1124,163.3822
fudu_51,163.0468
fudu_1387,162.5782
fudu_45,162.1645
fudu_246,162.1391
fudu_1251,161.9479
fudu_1193,161.507
fudu_253,161.2275
fudu_1257,161.0803
fudu_858,160.8815
fudu_744,160.6966
fudu_52,159.5942
fudu_39,159.5143
fudu_1200,159.0801
fudu_54,158.6922
fudu_913,158.64
fudu_753,158.5398
