,max_sum_non_zero,min_sum_non_zero
fudu_268,329.9631,41.9848
fudu_272,326.5428,32.3466
fudu_266,312.8604,29.1191
fudu_269,333.7374,25.4551
fudu_267,305.783,21.3999
fudu_271,321.9087,20.7518
fudu_270,329.3912,19.0496
fudu_273,325.5344,17.9309
fudu_265,290.9674,14.4832
fudu_754,217.2188,13.2242
fudu_280,272.9985,7.4054
fudu_281,267.2282,7.0088
fudu_264,267.0099,3.5557
fudu_755,224.913,3.0771
fudu_757,213.1877,2.6271
fudu_263,301.4421,-3.0404
fudu_756,206.0188,-3.343
fudu_279,274.8338,-4.3453
fudu_276,322.2394,-5.3462
fudu_13,275.6708,-5.7803
fudu_308,209.4618,-5.8155
fudu_306,205.2084,-8.164
fudu_275,320.9309,-8.935
fudu_1288,230.904,-9.238
fudu_1377,148.7953,-9.5897
fudu_1287,248.8968,-9.6012
fudu_14,269.1463,-10.712
fudu_16,285.51,-10.7846
fudu_1151,324.9839,-10.9628
fudu_285,288.0923,-11.3658
fudu_17,289.6503,-11.8943
fudu_278,250.0097,-12.1929
fudu_274,318.3679,-12.9869
fudu_260,219.8226,-13.0802
fudu_307,203.1842,-13.2397
fudu_1364,103.6065,-14.2143
fudu_15,276.9484,-14.4488
fudu_12,257.8582,-15.0209
fudu_1290,205.7668,-15.3862
fudu_758,184.9845,-15.6872
fudu_283,262.9763,-16.413
fudu_759,202.7614,-16.8496
fudu_11,262.2675,-16.9941
fudu_299,205.1621,-17.2399
fudu_1376,140.2468,-17.2645
fudu_1379,111.9562,-17.2825
fudu_1363,113.5322,-17.5845
fudu_284,270.4447,-18.3553
fudu_1152,295.0467,-18.5337
fudu_1365,100.9889,-19.128
fudu_1285,219.9925,-20.4863
fudu_277,267.7762,-20.5177
fudu_923,174.8126,-20.5474
fudu_1378,113.7123,-20.6198
fudu_309,219.4713,-20.6701
fudu_1148,314.7048,-20.7641
fudu_1150,303.3378,-21.09
fudu_922,166.7145,-21.5829
fudu_1375,135.9612,-21.7598
fudu_1149,304.6447,-22.5258
fudu_257,223.5338,-23.3864
fudu_261,205.0163,-23.9782
fudu_1291,196.7821,-24.2888
fudu_262,207.982,-24.9832
fudu_1289,213.1162,-25.0293
fudu_630,146.8137,-25.177
fudu_1380,114.5512,-25.3776
fudu_765,177.5898,-25.4083
fudu_1362,89.4968,-25.4685
fudu_629,143.2404,-25.5274
fudu_1383,155.0388,-25.7308
fudu_258,217.1702,-25.9883
fudu_1147,334.3787,-26.0097
fudu_255,218.295,-26.1068
fudu_300,187.3511,-27.2225
fudu_1286,181.0014,-27.7516
fudu_282,228.7452,-27.7632
fudu_1280,240.0873,-28.1576
fudu_1282,206.7537,-28.1978
fudu_843,92.035,-28.7721
fudu_1279,217.7351,-29.2903
fudu_259,202.245,-29.5052
fudu_1177,305.9809,-29.8025
fudu_855,106.9362,-30.7093
fudu_441,113.6607,-31.0594
fudu_853,103.8158,-31.3019
fudu_1295,185.3671,-31.3732
fudu_438,190.1407,-31.3757
fudu_1382,144.8707,-31.4021
fudu_1292,188.5232,-31.6799
fudu_1284,214.7679,-31.7214
fudu_1281,228.6027,-32.3866
fudu_7,226.034,-32.4525
fudu_766,157.4715,-32.4898
fudu_1366,100.08,-32.6288
fudu_1146,344.762,-32.634
fudu_854,107.3044,-32.7448
fudu_1176,300.7441,-32.9767
fudu_1179,303.01,-33.2278
fudu_305,188.1365,-33.2521
fudu_761,171.29,-33.3701
fudu_845,83.7187,-33.379
fudu_1178,318.9461,-33.6787
fudu_903,145.0919,-34.0311
fudu_1361,100.8379,-34.0781
fudu_10,263.3916,-34.1095
fudu_286,211.2567,-34.4536
fudu_1381,121.4903,-34.6487
fudu_303,165.0894,-34.688
fudu_764,165.6668,-34.6881
fudu_1175,272.0067,-34.8477
fudu_1388,170.6681,-35.1369
fudu_1174,268.6891,-35.3246
fudu_1293,199.4403,-35.5155
fudu_1154,225.5456,-36.0863
fudu_844,92.5973,-36.3633
fudu_1390,168.4303,-36.5085
fudu_849,109.6896,-36.5517
fudu_762,164.5899,-36.6259
fudu_447,96.5453,-36.7294
fudu_1141,334.2945,-36.9846
fudu_632,149.9658,-37.0739
fudu_631,154.2112,-37.3687
fudu_1145,325.9912,-37.595
fudu_1373,132.77,-37.8218
fudu_446,109.2704,-37.9731
fudu_1162,216.9557,-38.1706
fudu_442,102.1339,-38.3796
fudu_304,175.8667,-38.5454
fudu_1137,381.8422,-38.7966
fudu_293,214.8575,-39.1567
fudu_1370,108.2808,-39.3263
fudu_924,155.6185,-39.5144
fudu_1283,187.7598,-39.5914
fudu_1294,204.5848,-39.6176
fudu_925,142.405,-39.6227
fudu_628,122.5081,-39.6557
fudu_909,144.2232,-39.698
fudu_256,202.9919,-39.7924
fudu_291,204.4523,-39.8217
fudu_1167,206.4927,-39.907
fudu_254,221.9707,-40.044
fudu_434,260.7482,-40.1598
