#长期数据集，每小时统计一次，并且：,,
,,
# max_sum_non_zero：48小时内（过去48小时）涨幅前10的新币的累计涨幅之和。,,
# min_sum_non_zero：48小时内（过去48小时）跌幅前10的新币的累计跌幅之和,,
,max_sum_non_zero,min_sum_non_zero
# max_sum_non_zero：48小时内（过去48小时）涨幅前10的新币的累计涨幅之和。,214.73%,-77.48%
# min_sum_non_zero：48小时内（过去48小时）跌幅前10的新币的累计跌幅之和,224.54%,-73.52%
fudu_3,225.46%,-78.96%
fudu_4,230.43%,-62.51%
fudu_5,225.19%,-60.90%
fudu_6,218.87%,-48.78%
fudu_7,226.03%,-32.45%
fudu_8,223.06%,-46.12%
fudu_9,233.12%,-52.29%
fudu_10,263.39%,-34.11%
fudu_11,262.27%,-16.99%
fudu_12,257.86%,-15.02%
fudu_13,275.67%,-5.78%
fudu_14,269.15%,-10.71%
fudu_15,276.95%,-14.45%
fudu_16,285.51%,-10.78%
fudu_17,289.65%,-11.89%
fudu_18,268.65%,-41.27%
fudu_19,265.96%,-62.88%
fudu_20,267.08%,-72.50%
fudu_21,280.02%,-67.24%
fudu_22,263.83%,-64.37%
fudu_23,246.23%,-81.47%
fudu_24,224.72%,-112.05%
fudu_25,207.67%,-111.28%
fudu_26,174.25%,-118.55%
fudu_27,172.08%,-120.36%
fudu_28,177.08%,-119.62%
fudu_29,177.32%,-113.97%
fudu_30,179.13%,-111.54%
fudu_31,173.93%,-106.36%
fudu_32,186.67%,-106.18%
fudu_33,173.32%,-114.51%
fudu_34,150.72%,-123.03%
fudu_35,155.21%,-93.38%
fudu_36,156.64%,-79.26%
fudu_37,174.03%,-61.17%
fudu_38,166.98%,-53.60%
fudu_39,159.51%,-72.65%
fudu_40,164.40%,-82.73%
fudu_41,169.98%,-65.83%
fudu_42,153.30%,-75.22%
fudu_43,153.47%,-69.17%
fudu_44,155.11%,-79.72%
fudu_45,162.16%,-85.05%
fudu_46,136.31%,-90.71%
fudu_47,135.66%,-98.53%
fudu_48,168.47%,-55.77%
fudu_49,178.63%,-55.06%
fudu_50,182.39%,-65.59%
fudu_51,163.05%,-82.62%
fudu_52,159.59%,-96.61%
fudu_53,164.75%,-95.53%
fudu_54,158.69%,-99.74%
fudu_55,130.92%,-121.64%
fudu_56,136.13%,-114.43%
fudu_57,135.80%,-128.15%
fudu_58,131.01%,-124.61%
fudu_59,123.59%,-121.05%
fudu_60,114.54%,-131.72%
fudu_61,115.03%,-117.96%
fudu_62,115.29%,-117.82%
fudu_63,112.18%,-107.57%
fudu_64,101.50%,-99.25%
fudu_65,117.36%,-100.32%
fudu_66,125.90%,-79.51%
fudu_67,111.16%,-95.26%
fudu_68,95.40%,-102.68%
fudu_69,99.30%,-109.06%
fudu_70,90.76%,-111.40%
fudu_71,91.29%,-109.25%
fudu_72,76.79%,-142.71%
fudu_73,63.84%,-159.75%
fudu_74,68.11%,-161.93%
fudu_75,49.20%,-168.19%
fudu_76,37.50%,-182.81%
fudu_77,19.41%,-197.25%
fudu_78,15.52%,-198.03%
fudu_79,-4.75%,-219.85%
fudu_80,19.55%,-204.10%
fudu_81,26.48%,-198.57%
fudu_82,17.57%,-190.31%
fudu_83,-14.77%,-208.83%
fudu_84,-28.08%,-220.37%
fudu_85,-37.77%,-227.44%
fudu_86,-54.57%,-235.17%
fudu_87,-56.88%,-233.94%
fudu_88,-59.47%,-260.26%
fudu_89,-46.45%,-239.29%
fudu_90,-32.71%,-233.81%
fudu_91,-60.01%,-244.74%
fudu_92,-56.33%,-249.56%
fudu_93,-61.88%,-250.08%
fudu_94,-73.71%,-266.04%
fudu_95,-78.94%,-268.20%
fudu_96,-85.62%,-276.84%
fudu_97,-91.17%,-290.50%
fudu_98,-98.74%,-302.46%
fudu_99,-100.47%,-306.94%
fudu_100,-98.46%,-292.99%
fudu_101,-90.72%,-289.68%
fudu_102,-80.59%,-267.60%
fudu_103,-97.75%,-261.30%
fudu_104,-90.74%,-240.47%
fudu_105,-87.31%,-242.72%
fudu_106,-87.54%,-246.08%
fudu_107,-77.35%,-234.76%
fudu_108,-84.37%,-253.53%
fudu_109,-96.95%,-270.51%
fudu_110,-89.77%,-265.01%
fudu_111,-98.21%,-280.79%
fudu_112,-94.43%,-291.40%
fudu_113,-133.86%,-321.26%
fudu_114,-106.99%,-303.31%
fudu_115,-95.92%,-291.34%
fudu_116,-99.03%,-298.89%
fudu_117,-106.13%,-306.53%
fudu_118,-107.63%,-315.10%
fudu_119,-119.63%,-330.60%
fudu_120,-87.07%,-294.40%
fudu_121,-61.57%,-266.64%
fudu_122,-51.60%,-255.28%
fudu_123,-65.80%,-273.92%
fudu_124,-57.15%,-273.17%
fudu_125,-73.05%,-296.80%
fudu_126,-53.56%,-264.64%
fudu_127,-65.53%,-294.21%
fudu_128,-47.34%,-264.30%
fudu_129,-58.77%,-259.59%
fudu_130,-46.76%,-246.83%
fudu_131,-33.31%,-214.11%
fudu_132,-28.27%,-198.01%
fudu_133,-14.74%,-166.73%
fudu_134,-14.82%,-173.89%
fudu_135,15.01%,-132.21%
fudu_136,8.93%,-145.94%
fudu_137,5.72%,-149.83%
fudu_138,98.93%,-134.06%
fudu_139,109.63%,-124.71%
fudu_140,116.59%,-102.64%
fudu_141,119.28%,-103.01%
fudu_142,123.18%,-122.30%
fudu_143,58.39%,-164.82%
fudu_144,80.87%,-156.44%
fudu_145,115.92%,-123.75%
fudu_146,107.37%,-141.35%
fudu_147,142.64%,-117.83%
fudu_148,133.46%,-124.12%
fudu_149,143.25%,-120.22%
fudu_150,121.92%,-135.59%
fudu_151,102.58%,-145.00%
fudu_152,101.03%,-142.37%
fudu_153,97.29%,-137.45%
fudu_154,75.66%,-135.79%
fudu_155,74.42%,-135.33%
fudu_156,96.08%,-111.59%
fudu_157,74.23%,-138.89%
fudu_158,72.72%,-126.73%
fudu_159,82.11%,-117.93%
fudu_160,108.19%,-100.69%
fudu_161,97.21%,-105.07%
fudu_162,86.13%,-108.93%
fudu_163,110.83%,-97.10%
fudu_164,110.13%,-87.21%
fudu_165,110.30%,-80.25%
fudu_166,139.16%,-42.30%
fudu_167,119.40%,-62.90%
fudu_168,84.96%,-85.50%
fudu_169,79.53%,-97.43%
fudu_170,98.59%,-75.57%
fudu_171,92.69%,-82.72%
fudu_172,117.82%,-65.71%
fudu_173,114.74%,-64.56%
fudu_174,138.72%,-43.18%
fudu_175,137.87%,-49.83%
fudu_176,122.97%,-61.44%
fudu_177,115.24%,-62.42%
fudu_178,93.69%,-77.49%
fudu_179,90.27%,-83.48%
fudu_180,94.18%,-91.87%
fudu_181,99.34%,-92.06%
fudu_182,73.64%,-106.28%
fudu_183,62.96%,-108.94%
fudu_184,51.19%,-117.82%
fudu_185,23.35%,-150.17%
fudu_186,7.14%,-177.07%
fudu_187,4.16%,-182.45%
fudu_188,14.35%,-166.90%
fudu_189,18.69%,-162.93%
fudu_190,41.86%,-98.29%
fudu_191,45.23%,-105.62%
fudu_192,47.86%,-113.41%
fudu_193,70.70%,-99.96%
fudu_194,28.62%,-156.63%
fudu_195,31.76%,-152.56%
fudu_196,23.44%,-155.32%
fudu_197,34.88%,-141.70%
fudu_198,29.09%,-144.83%
fudu_199,15.29%,-150.23%
fudu_200,8.46%,-143.27%
fudu_201,13.70%,-131.62%
fudu_202,39.34%,-102.83%
fudu_203,17.99%,-114.93%
fudu_204,12.58%,-119.99%
fudu_205,11.99%,-125.33%
fudu_206,13.76%,-119.49%
fudu_207,0.77%,-135.33%
fudu_208,-12.87%,-152.75%
fudu_209,0.08%,-140.31%
fudu_210,-22.48%,-155.60%
fudu_211,-31.51%,-167.97%
fudu_212,-41.36%,-175.46%
fudu_213,-51.82%,-195.89%
fudu_214,-35.34%,-161.85%
fudu_215,-38.23%,-180.79%
fudu_216,-11.38%,-157.17%
fudu_217,-7.03%,-145.19%
fudu_218,-19.34%,-150.27%
fudu_219,-16.03%,-163.85%
fudu_220,-17.73%,-154.67%
fudu_221,-24.87%,-176.96%
fudu_222,-11.59%,-167.79%
fudu_223,15.68%,-139.72%
fudu_224,27.32%,-127.74%
fudu_225,23.12%,-125.42%
fudu_226,22.51%,-125.09%
fudu_227,18.74%,-125.47%
fudu_228,24.70%,-121.89%
fudu_229,29.93%,-106.96%
fudu_230,71.84%,-98.25%
fudu_231,91.56%,-100.80%
fudu_232,72.01%,-107.63%
fudu_233,70.82%,-103.42%
fudu_234,88.54%,-95.30%
fudu_235,115.41%,-78.82%
fudu_236,98.94%,-101.03%
fudu_237,88.19%,-95.52%
fudu_238,78.26%,-102.43%
fudu_239,109.11%,-88.37%
fudu_240,109.29%,-98.96%
fudu_241,123.75%,-98.31%
fudu_242,123.11%,-93.64%
fudu_243,116.82%,-87.41%
fudu_244,126.18%,-85.05%
fudu_245,144.52%,-79.48%
fudu_246,162.14%,-74.38%
fudu_247,152.74%,-63.07%
fudu_248,185.18%,-60.79%
fudu_249,144.45%,-83.70%
fudu_250,146.57%,-71.17%
fudu_251,154.22%,-54.86%
fudu_252,154.78%,-53.75%
fudu_253,161.23%,-50.46%
fudu_254,221.97%,-40.04%
fudu_255,218.29%,-26.11%
fudu_256,202.99%,-39.79%
fudu_257,223.53%,-23.39%
fudu_258,217.17%,-25.99%
fudu_259,202.25%,-29.51%
fudu_260,219.82%,-13.08%
fudu_261,205.02%,-23.98%
fudu_262,207.98%,-24.98%
fudu_263,301.44%,-3.04%
fudu_264,267.01%,3.56%
fudu_265,290.97%,14.48%
fudu_266,312.86%,29.12%
fudu_267,305.78%,21.40%
fudu_268,329.96%,41.98%
fudu_269,333.74%,25.46%
fudu_270,329.39%,19.05%
fudu_271,321.91%,20.75%
fudu_272,326.54%,32.35%
fudu_273,325.53%,17.93%
fudu_274,318.37%,-12.99%
fudu_275,320.93%,-8.93%
fudu_276,322.24%,-5.35%
fudu_277,267.78%,-20.52%
fudu_278,250.01%,-12.19%
fudu_279,274.83%,-4.35%
fudu_280,273.00%,7.41%
fudu_281,267.23%,7.01%
fudu_282,228.75%,-27.76%
fudu_283,262.98%,-16.41%
fudu_284,270.44%,-18.36%
fudu_285,288.09%,-11.37%
fudu_286,211.26%,-34.45%
fudu_287,199.45%,-55.02%
fudu_288,180.91%,-67.83%
fudu_289,206.15%,-50.62%
fudu_290,204.42%,-40.26%
fudu_291,204.45%,-39.82%
fudu_292,200.60%,-53.09%
fudu_293,214.86%,-39.16%
fudu_294,202.00%,-40.57%
fudu_295,156.44%,-67.81%
fudu_296,154.28%,-72.87%
fudu_297,164.94%,-52.42%
fudu_298,165.92%,-46.07%
fudu_299,205.16%,-17.24%
fudu_300,187.35%,-27.22%
fudu_301,154.81%,-55.26%
fudu_302,170.28%,-43.51%
fudu_303,165.09%,-34.69%
fudu_304,175.87%,-38.55%
fudu_305,188.14%,-33.25%
fudu_306,205.21%,-8.16%
fudu_307,203.18%,-13.24%
fudu_308,209.46%,-5.82%
